Track ID,Name,Artist,Genre,Total Time,Location,Play Count,Column1,Column2,Column3
1824,New Horizons,Shook,,259,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Shook%20-%20Spectrum%20(2014)/04%20-%20New%20Horizons.mp3,167,,,
1795,Passing By,Zero 7,Downtempo,293,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/04%20Passing%20By.mp3,166,,,
1831,In Bloom,Shook,,259,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Shook%20-%20Spectrum%20(2014)/01%20-%20In%20Bloom.mp3,162,,,
1794,Somersault,Zero 7,Downtempo,419,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/03%20Somersault.mp3,133,,,
1912,Lost In The Evening feat. Gary Jules,Equal,Indie pop,275,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Equal%20-%20Lost%20In%20The%20Evening%20Feat.%20Gary%20Jules%20[mp3clan].mp3,131,,,
1787,The Space Between,Zero 7,Downtempo,363,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/07%20The%20Space%20Between.mp3,123,,,
2120,Level Bounce,zircon,,228,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Electro/Zircon%20-%20Level%20Bounce%20[mp3clan].mp3,108,,,
1828,Time Runners,Shook,,261,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Shook%20-%20Spectrum%20(2014)/08%20-%20Time%20Runners.mp3,101,,,
1966,Without Your Love,Home State,Поп-музыка,227,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Home%20State%20-%20Without%20Your%20Love%20(original%20Mix)%20[mp3clan].mp3,100,,,
2106,Feel Your Love,Falqo,,207,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Electro/Feel%20Your%20Love.mp3,100,,,
1830,Milestones,Shook,,506,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Shook%20-%20Spectrum%20(2014)/10%20-%20Milestones.mp3,99,,,
1792,Warm Sound,Zero 7,Dance And Electronica,332,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/01%20Warm%20Sound.mp3,99,,,
2144,Feel Your Love,Falqo,,207,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Good%20Anaheim%20Vibes/Feel%20Your%20Love.mp3,99,,,
1793,Home,Zero 7,Downtempo,278,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/02%20Home.mp3,96,,,
1981,Pace — Through Your Fingers,,,152,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Pace%20%E2%80%94%20Through%20Your%20Fingers.flac,93,,,
1797,When It Falls,Zero 7,Downtempo,332,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/06%20When%20It%20Falls.mp3,92,,,
1737,Reaktion,Carbon Based Lifeforms,Instrumental,354,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/Carbon%20Based%20Lifeforms%20-%20Reaktion%20[mp3clan.com].mp3,90,,,
2104,Reaktion,Carbon Based Lifeforms,Instrumental,354,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Electro/Carbon%20Based%20Lifeforms%20-%20Reaktion%20[mp3clan.com].mp3,90,,,
1788,Speed Dial No. 2,Zero 7,Downtempo,231,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/08%20Speed%20Dial%20N%C2%B0%202.mp3,84,,,
1100,Talisman,Air,Electronica/Dance,256,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/Air%20-%20Talisman%20[mp3clan.com].mp3,83,,,
1748,Blumenwiese Neben Autobahn,Ulrich Schnauss,,392,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/Ulrich%20Schnauss%20-%20Blumenwiese%20Neben%20Autobahn%20[mp3clan.com].mp3,82,,,
1802,Inaminute,Zero 7,Downtempo,291,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20The%20Garden%20[JPN]%20(2006)/14%20Inaminute.mp3,81,,,
947,Gettin' Live,GRiZ,Electronic,448,file://localhost/C:/Users/theplaineric/Desktop/Misc/Airband%20Mix/01%20Gettin_%20Live.mp3,80,,,
986,Gettin' Live,GRiZ,Electronic,448,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Rebel%20Era/01%20Gettin_%20Live.mp3,80,,,
170,Gettin' Live,GRiZ,Electronic,204,file://localhost/C:/Users/theplaineric/Desktop/Misc/Airband%20Mix/damnsonneedsediting.mp3,80,,,
160,Gettin' Live,GRiZ,Electronic,192,file://localhost/C:/Users/theplaineric/Desktop/Misc/Airband%20Mix/SeniorsAnthem.mp3,80,,,
76,Gettin' Live,GRiZ,Electronic,44,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/trailermusic.mp3,80,,,
1955,Work Life Imbalance,C418,,209,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Dief/C418%20-%20Work%20Life%20Imbalance%20[mp3clan].mp3,78,,,
2112,Float (TheFatRat Remix),Pacific Air,Electro House,259,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Electro/Pacific%20Air%20-%20Float%20(thefatrat%20Remix)%20[mp3clan].mp3,77,,,
1914,CAPYAC - Cloud,,,236,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/CAPYAC%20-%20Cloud.mp3,77,,,
1577,Before I Go ft. Leo Napier,GRiZ,,427,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Before_I_Go_ft._Leo_Napier.mp3,76,,,
2696,Feelin' Fine,GRiZ,Breakbeat / Funk / Dubstep / Glitch,264,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/GRiZ%20-%20Good%20Will%20Prevail%20-%202016%20(320%20kbps)/06.%20Feelin'%20Fine.mp3,76,,,
1790,In Time,Zero 7,Downtempo,299,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/10%20In%20Time.mp3,75,,,
1786,"씨스루 (Feat. Zion.T, 개코 Of 다이나믹듀오)",프라이머리,Rap / Hip-hop,213,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/%ED%94%84%EB%9D%BC%EC%9D%B4%EB%A8%B8%EB%A6%AC-%EC%94%A8%EC%8A%A4%EB%A3%A8_Feat_Zion_T_%EA%B0%9C%EC%BD%94_Of_%EB%8B%A4%EC%9D%B4%EB%82%98%EB%AF%B9%EB%93%80%EC%98%A4_.mp3,74,,,
1913,SACRE,,,207,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/SACRE.mp3,74,,,
1967,Farr_-Down_,,,173,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Farr_-Down_.mp3,74,,,
1747,La Femme D'Argent,Air,-254,433,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/Air%20-%20La%20Femme%20D'Argent%20[mp3clan.com].mp3,72,,,
171,Spinning,Zero 7,Quango Records,363,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Simple%20Things/14-Spinning.mp3,72,,,
1822,Lisztomania,Shook,,301,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Phoenix%20-%20Lisztomania%20(Shook%20Remix)_master_1oktober.mp3,72,,,
1971,Fly (fkj Remix) [mp3clan],June Marieezy,,252,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/June%20Marieezy%20-%20Fly%20(fkj%20Remix)%20[mp3clan].mp3,72,,,
1102,Unspoken,AM Architect,,227,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/AM%20Architect%20-%20Unspoken%20[mp3clan.com].mp3,71,,,
1774,Electric,The Inner Banks,Indie,236,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/The%20Inner%20Banks%20-%20Electric%20[mp3clan.com].mp3,70,,,
1099,Alone In Kyoto,Air,Electronic,293,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/Air%20-%20Alone%20In%20Kyoto%20[mp3clan.com].mp3,68,,,
1789,Look Up,Zero 7,Downtempo,359,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/09%20Look%20Up.mp3,67,,,
1972,Unstoppable (fkj Remix) [mp3clan],Lianne La Havas,,316,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Lianne%20La%20Havas%20-%20Unstoppable%20(fkj%20Remix)%20[mp3clan].mp3,66,,,
1915,Daydreamer (ft. Le Real),ConsciousThoughts,,267,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/ConsciousThoughts%20-%20Daydreamer%20(ft.%20Le%20Real).mp3,66,,,
2175,Daydreamer (ft. Le Real),ConsciousThoughts,,267,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Virtual%20Riot/ConsciousThoughts%20-%20Daydreamer%20(ft.%20Le%20Real).mp3,66,,,
1932,Nights (younker Remix) [mp3clan],Libano ,,254,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Libano%20%20-%20Nights%20(younker%20Remix)%20[mp3clan].mp3,65,,,
2163,As We Proceed,GRiZMATiK,Future Funk,260,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Grizmatik%20-%20As%20We%20Proceed.mp3,64,,,
1927,Stay Lost (ft. Amber Simone),Joe Hertz,Electronic,230,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Joe%20Hertz%20-%20Stay%20Lost%20(ft.%20Amber%20Simone)%20[mp3clan].mp3,64,,,
1853,Hayling,FC Kahuna,,409,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/FC%20Kahuna%20-%20Hayling%20[mp3clan.com].mp3,63,,,
1741,Destiny,Zero 7,Quango Records,337,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/03-Destiny.mp3,62,,,
1108,Undiscovered Colors,The Flashbulb,,257,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/The%20Flashbulb%20-%20Undiscovered%20Colors%20[mp3clan.com].mp3,61,,,
1928,Night and Day,Allure,,246,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Indie/Allure%20-%20Night%20And%20Day%20%20%20%20OFFICIAL.mp3,60,,,
1840,Tonight,Shook,,232,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Shook%20(Album%20ALMOST%20SOLD%20OUT)/01%20Shook%20-%20Tonight.mp3,60,,,
1791,Morning Song,Zero 7,Downtempo,390,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zero%207%20-%20When%20It%20Falls%20(2004)/11%20Morning%20Song.mp3,59,,,
1841,Keys Of Light,Shook,,218,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Shook%20(Album%20ALMOST%20SOLD%20OUT)/02%20Shook%20-%20Keys%20Of%20Light.mp3,59,,,
2204,Angel (솔라 & 휘인),마마무,Ballad,212,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/Mamamoo/Music%20Downloads/Angel%20(%EC%86%94%EB%9D%BC%20&%20%ED%9C%98%EC%9D%B8).mp3,59,,,
1097,Sometimes the Truth Don't Rhyme,GRiZ,,205,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Chasing%20the%20Golden%20Hour/08%20Sometimes%20the%20Truth%20Don_t%20Rhyme.mp3,59,,,
52,Shady Business [mp3clan.com],Mr.Nagasaki,,324,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Mr.Nagasaki%20-%20Shady%20Business%20[mp3clan.com].mp3,58,,,
1740,Give It Away,Zero 7,Electronic,307,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Assorted%20Electronic/Zero%207%20-%20Give%20It%20Away%20[mp3clan.com].mp3,58,,,
955,Take It High (feat. Ivan Neville),GRiZ,Electronic,248,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/GRiZ%20-%20Take%20It%20High%20(feat.%20Ivan%20Neville)%20[mp3clan.com].mp3,58,,,
2698,"What We've Become (Feat. Cory Enemy, Natalola)",GRiZ,Breakbeat / Funk / Dubstep / Glitch,252,"file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/GRiZ%20-%20Good%20Will%20Prevail%20-%202016%20(320%20kbps)/08.%20What%20We've%20Become%20(Feat.%20Cory%20Enemy,%20Natalola).mp3",57,,,
1832,Vision,Shook,,201,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Shook%20-%20Spectrum%20(2014)/02%20-%20Vision.mp3,57,,,
